keyword,volume,keyword_difficulty,cpc,best_position,best_position_url,sum_traffic,is_informational,is_commercial,is_transactional
smartphone market,12000,75,53,3,https://www.grandviewresearch.com/industry-analysis/smart-phone-market,1194,True,True,False
coffee insights,2700,6,,1,https://www.grandviewresearch.com/industry-analysis/coffee-market,976,True,True,False
learning management system market,700,60,406,1,https://www.grandviewresearch.com/industry-analysis/learning-management-systems-market,267,True,True,False
wearable technology market,500,68,219,1,https://www.grandviewresearch.com/industry-analysis/wearable-technology-market,211,True,True,False
digital transformation market,600,64,353,1,https://www.grandviewresearch.com/industry-analysis/digital-transformation-market,201,True,True,False
what is the gambling industry,3400,87,,7,https://www.grandviewresearch.com/industry-analysis/online-gambling-market,165,True,False,False
seo industry size,600,44,,1,https://www.grandviewresearch.com/industry-analysis/seo-software-market-report,140,True,True,False
global seo software,350,44,,1,https://www.grandviewresearch.com/industry-analysis/seo-software-market-report,134,True,True,False
healthy snacks market,700,26,15,1,https://www.grandviewresearch.com/industry-analysis/healthy-snack-market,134,True,True,False
insect repellent market,300,10,,1,https://www.grandviewresearch.com/industry-analysis/insect-repellent-market,122,True,True,False
computed tomography market,350,14,,1,https://www.grandviewresearch.com/industry-analysis/computed-tomography-ct-market,120,True,True,False
pet insurance market,300,37,1221,1,https://www.grandviewresearch.com/industry-analysis/pet-insurance-market,110,True,True,False
jewelry market,300,18,59,1,https://www.grandviewresearch.com/industry-analysis/jewelry-market,108,True,True,False
application management services trends,300,3,,1,https://www.grandviewresearch.com/industry-analysis/application-management-services-market,107,True,True,False
intrauterine devices market,300,1,,1,https://www.grandviewresearch.com/industry-analysis/intrauterine-devices-market-report,106,True,True,False
preclinical imaging market,300,14,,1,https://www.grandviewresearch.com/industry-analysis/preclinical-imaging-market,106,True,True,False
advertising market,300,41,810,1,https://www.grandviewresearch.com/industry-analysis/digital-advertising-market-report,105,True,True,False
electric lawn mower market,300,16,,1,https://www.grandviewresearch.com/industry-analysis/electric-lawn-mower-market-report,105,True,True,False
poultry vaccines market,300,5,,1,https://www.grandviewresearch.com/industry-analysis/poultry-vaccines-market,103,True,True,False
seo market,2100,90,660,1,https://www.grandviewresearch.com/industry-analysis/seo-software-market-report,102,True,True,False
3d printing market,250,61,47,1,https://www.grandviewresearch.com/industry-analysis/3d-printing-industry-analysis,100,True,True,False
solar lighting market us 2025 trends,300,12,,1,https://www.grandviewresearch.com/industry-analysis/outdoor-solar-led-market,100,False,False,False
market research reports,700,38,328,2,https://www.grandviewresearch.com/services/market-research-reports,97,True,True,False
meal replacement products market,250,4,,1,https://www.grandviewresearch.com/industry-analysis/meal-replacement-products-market,97,True,True,False
refurbished medical imaging equipment market,250,22,,1,https://www.grandviewresearch.com/industry-analysis/refurbished-medical-imaging-devices-market-report,97,True,True,False
railway wiring harness market,250,8,,1,https://www.grandviewresearch.com/industry-analysis/railway-wiring-harness-market,97,True,True,False
augmented reality market,200,65,130,1,https://www.grandviewresearch.com/industry-analysis/augmented-reality-market,97,True,True,False
pharmaceutical analytical testing outsourcing market,250,6,,1,https://www.grandviewresearch.com/industry-analysis/pharmaceutical-analytical-testing-outsourcing-market,97,True,True,False
aerospace foam market,250,15,,1,https://www.grandviewresearch.com/industry-analysis/aerospace-foam-market,95,True,True,False
patient portal market,250,18,,1,https://www.grandviewresearch.com/industry-analysis/patient-portal-market,95,True,True,False
mobile gaming market,200,12,590,1,https://www.grandviewresearch.com/industry-analysis/mobile-games-market,95,True,True,False
luxury footwear market,250,6,22,1,https://www.grandviewresearch.com/industry-analysis/luxury-footwear-market,94,True,True,False
nonstick cookware market,250,11,,1,https://www.grandviewresearch.com/industry-analysis/nonstick-cookware-market,94,True,True,False
forage seed market,250,1,,1,https://www.grandviewresearch.com/industry-analysis/forage-seed-market-report,93,True,True,False
neurovascular catheters market,250,12,,1,https://www.grandviewresearch.com/industry-analysis/neurovascular-catheters-market,91,True,True,False
ai market,800,89,300,1,https://www.grandviewresearch.com/industry-analysis/artificial-intelligence-ai-market,91,True,True,False
squalene market,250,12,,1,https://www.grandviewresearch.com/industry-analysis/squalene-market,91,True,True,False
ophthalmic drugs market,250,12,,1,https://www.grandviewresearch.com/industry-analysis/ophthalmic-therapeutics-drug-market,91,True,True,False
tequila market,250,21,87,1,https://www.grandviewresearch.com/industry-analysis/tequila-market-report,91,True,True,False
carrageenan market,250,3,,1,https://www.grandviewresearch.com/industry-analysis/carrageenan-market,90,True,True,False
gaming accessories market,250,16,,1,https://www.grandviewresearch.com/industry-analysis/gaming-accessories-market-report,90,True,True,False
veterinary services market,250,10,,1,https://www.grandviewresearch.com/industry-analysis/veterinary-services-market,90,True,True,False
hard seltzer market,250,11,134,1,https://www.grandviewresearch.com/industry-analysis/hard-seltzer-market,89,True,True,False
consumer electronics market,250,33,97,1,https://www.grandviewresearch.com/industry-analysis/personal-consumer-electronics-market,89,True,True,False
hemoglobinopathies market,250,3,,1,https://www.grandviewresearch.com/industry-analysis/hemoglobinopathies-market,88,True,True,False
