keyword,volume,keyword_difficulty,cpc,best_position,best_position_url,sum_traffic,is_informational,is_commercial,is_transactional
smartphone market,12000,75,53,12,https://store.mintel.com/report/us-smartphones-market-report,160,True,True,False
market intelligence firm,350,82,500,1,https://www.mintel.com/,118,True,True,False
food industry market research,450,2,429,1,https://www.mintel.com/insights/food-and-drink/,101,True,True,False
coffee insights,2700,6,,9,https://store.mintel.com/industries/drinks/coffee,83,True,True,False
baby boomers,35000,55,,4,https://store.mintel.com/demographics/baby-boomers,67,True,False,False
tportgametek game trends from theportablegamer,1000,1,,7,https://store.mintel.com/report/us-gaming-trends-market-report,59,True,False,False
newest gaming trends gmrrmulator,1200,6,,8,https://store.mintel.com/report/us-gaming-trends-market-report,58,True,False,False
plant based trends,150,22,141,1,https://www.mintel.com/insights/food-and-drink/emerging-trends-in-the-plant-based-industry/,50,True,True,False
hotel research,150,22,143,1,https://store.mintel.com/industries/travel/holidays-vacations/hotels-accommodation,46,True,True,False
personal care trends,100,6,173,1,https://www.mintel.com/insights/beauty-and-personal-care/,45,True,True,False
gen z shopping habits,300,41,90,1,https://www.mintel.com/insights/retail/gen-z-online-shopping-behaviour-and-trends-what-brands-need-to-know/,43,True,True,False
purchase intelligence,100,0,,1,https://www.mintel.com/products/purchase-intelligence/,42,True,True,False
shopping behaviour,350,9,165,4,https://www.mintel.com/insights/retail/gen-z-online-shopping-behaviour-and-trends-what-brands-need-to-know/,38,True,False,False
sweet spreads market,100,1,,2,https://store.mintel.com/report/us-nut-based-spreads-and-sweet-spreads-market-report,38,True,True,False
food market insights,100,55,,1,https://www.mintel.com/insights/food-and-drink/,37,True,True,False
retail loyalty schemes,100,41,127,1,https://www.mintel.com/insights/retail/loyalty-programmes-how-retail-brands-are-driving-value-amid-inflation/,37,True,True,False
market research on food industry,100,4,310,2,https://store.mintel.com/industries/food,36,True,True,False
food and drink market research,90,12,226,1,https://www.mintel.com/insights/food-and-drink/,34,True,True,False
millennial shopping statistics,90,27,,1,https://store.mintel.com/report/us-gen-z-millennial-online-shopping-behaviors-market-report,33,True,True,False
baby boomer travel trends,90,9,,1,https://www.mintel.com/insights/travel-and-tourism/generational-travel-trends/,32,True,False,False
food market research,250,7,226,4,https://store.mintel.com/industries/food,32,True,True,False
