keyword,volume,keyword_difficulty,cpc,best_position,best_position_url,sum_traffic,is_informational,is_commercial,is_transactional
europe furniture markets,43000,5,,1,https://www.mordorintelligence.com/industry-reports/europe-furniture-market,15623,True,True,False
seo market,2100,90,660,1,https://www.mordorintelligence.com/industry-reports/seo-market,768,True,True,False
size of seo market,500,0,479,2,https://www.mordorintelligence.com/industry-reports,197,True,True,False
digital experience platform market,500,29,494,1,https://www.mordorintelligence.com/industry-reports/digital-experience-platform-market,174,True,True,False
seo market analysis,400,49,39,1,https://www.mordorintelligence.com/industry-reports/seo-market,152,True,True,False
wireline companies,200,0,148,1,https://www.mordorintelligence.com/industry-reports/global-wireline-services-market-industry/companies,147,True,True,False
penetration testing market,900,26,263,1,https://www.mordorintelligence.com/industry-reports/penetration-testing-market,137,True,True,False
workflow automation market,350,26,465,1,https://www.mordorintelligence.com/industry-reports/workflow-automation-market,131,True,True,False
top cybersecurity companies,2900,8,430,8,https://www.mordorintelligence.com/industry-reports/united-states-cybersecurity-market/companies,131,True,True,False
fuel cell commercial vehicle market,300,5,,1,https://www.mordorintelligence.com/industry-reports/fuel-cell-commercial-vehicle-market,118,True,True,False
industrial chocolate market,300,24,,1,https://www.mordorintelligence.com/industry-reports/industrial-chocolate-market,108,True,True,False
chiller company,400,38,330,1,https://www.mordorintelligence.com/industry-reports/chiller-market/companies,106,True,True,False
microwave brands,5100,13,19,9,https://www.mordorintelligence.com/industry-reports/united-states-microwave-oven-market/companies,95,True,True,False
seo industry growth,500,38,,2,https://www.mordorintelligence.com/industry-reports/seo-market,93,True,True,False
gastrointestinal therapeutics market,250,2,,1,https://www.mordorintelligence.com/industry-reports/gastrointestinal-therapeutics-market,92,True,True,False
agricultural ventilation fans market,250,1,,1,https://www.mordorintelligence.com/industry-reports/global-agricultural-ventilation-fans-market,91,True,True,False
indoor farming market,250,24,,1,https://www.mordorintelligence.com/industry-reports/indoor-farming-market,89,True,True,False
induction motor market,250,7,,1,https://www.mordorintelligence.com/industry-reports/induction-motor-market,88,True,True,False
thermoplastic composites market,250,15,,1,https://www.mordorintelligence.com/industry-reports/thermoplastic-composites-market,87,True,True,False
industrial computed tomography market,250,19,670,1,https://www.mordorintelligence.com/industry-reports/industrial-computed-tomography-market,86,True,True,False
robot software market,250,12,,1,https://www.mordorintelligence.com/industry-reports/robot-software-market,85,True,True,False
clinical data analytics market,250,7,265,1,https://www.mordorintelligence.com/industry-reports/clinical-data-analytics-market-industry,83,True,True,False
soft skills training market,200,18,,1,https://www.mordorintelligence.com/industry-reports/soft-skills-training-market,81,True,True,False
archery equipment market,200,7,,1,https://www.mordorintelligence.com/industry-reports/archery-equipment-market,80,True,True,False
soil conditioners market,200,7,,1,https://www.mordorintelligence.com/industry-reports/soil-conditioners-market,80,True,True,False
agricultural surfactants market,200,10,,1,https://www.mordorintelligence.com/industry-reports/agricultural-surfactant-market,79,True,True,False
payment security market,200,13,,1,https://www.mordorintelligence.com/industry-reports/payment-security-market,79,True,True,False
pet oral care products market,200,4,,1,https://www.mordorintelligence.com/industry-reports/pet-oral-care-products-market,79,True,True,False
