keyword,volume,keyword_difficulty,cpc,best_position,best_position_url,sum_traffic,is_informational,is_commercial,is_transactional
ecommerce market research,350,0,491,2,https://www.researchandmarkets.com/report,123,True,True,False
seo industry size,600,44,,1,https://www.researchandmarkets.com/report/seo,89,True,True,False
aircraft hangar market,200,4,,1,https://www.researchandmarkets.com/report/aircraft-hangar,82,True,True,False
food processing equipment manufacturers,700,4,246,5,https://www.researchandmarkets.com/articles/key-companies-in-food-processing-equipment,80,True,True,False
market research market size,200,76,546,1,https://www.researchandmarkets.com/report/market-research-service,79,True,True,False
hospitality market,200,45,178,1,https://www.researchandmarkets.com/report/hospitality,74,True,True,False
childcare management software market,200,4,0,1,https://www.researchandmarkets.com/report/childcare-management-software,70,True,True,False
seo market size,600,44,479,1,https://www.researchandmarkets.com/report/seo,67,True,True,False
thid,400,0,23,1,https://www.researchandmarkets.com/reports/4430071/thid-the-ultimate-outcome-of-rfid,64,True,False,False
virtualization software market,150,14,,1,https://www.researchandmarkets.com/report/virtualization-software,63,True,True,False
research on market,150,37,387,2,https://www.researchandmarkets.com/,62,True,True,False
laminated veneer lumber market,150,2,,1,https://www.researchandmarkets.com/report/laminated-veneer-lumber,59,True,True,False
global search engine optimization,400,95,,1,https://www.researchandmarkets.com/report/seo,58,True,True,False
crane rental market,150,3,,1,https://www.researchandmarkets.com/report/cranes-rental,56,True,True,False
satellite modem market,150,0,,1,https://www.researchandmarkets.com/report/satellite-modem,55,True,True,False
seo industry report,150,82,376,1,https://www.researchandmarkets.com/report/seo,53,True,True,False
atm makers,800,4,126,1,https://www.researchandmarkets.com/articles/key-companies-in-automated-teller-machines,50,True,True,False
seo market analysis,400,49,39,4,https://www.researchandmarkets.com/report/seo,49,True,True,False
e commerce market research,150,4,414,2,https://www.researchandmarkets.com/report/e-commerce,45,True,True,False
atm providers,1200,4,250,1,https://www.researchandmarkets.com/articles/key-companies-in-automated-teller-machines,45,True,True,False
bfsi contact center analytics market,100,0,,1,https://www.researchandmarkets.com/reports/6070370/bfsi-contact-center-analytics-global-strategic,44,True,True,False
acrylic surface coating market,100,1,,2,https://www.researchandmarkets.com/report/acrylic-surface-coating,41,True,True,False
size of seo market,500,0,479,6,https://www.researchandmarkets.com/report/seo,41,True,True,False
research market,100,86,407,1,https://www.researchandmarkets.com/,40,True,True,False
the size of the seo opportunity,100,31,,1,https://www.researchandmarkets.com/report/seo,40,True,True,False
medical crutches market,100,2,,1,https://www.researchandmarkets.com/reports/5734492/medical-crutches-market-size-share-and-trends,39,True,True,False
motorcycle infotainment system market,100,8,,1,https://www.researchandmarkets.com/report/motorcycle-infotainment,38,True,True,False
research markets,100,87,362,1,https://www.researchandmarkets.com/,37,True,True,False
is weed legal in china,1700,3,,11,https://www.researchandmarkets.com/report/china-cannabis-market,36,True,False,False
amblyopia market,100,2,,1,https://www.researchandmarkets.com/report/global-amblyopia-market,35,True,True,False
hydrogen generator manufacturers,100,2,303,1,https://www.researchandmarkets.com/articles/key-companies-in-hydrogen-generator,35,True,True,False
hvac air filter market,100,13,,1,https://www.researchandmarkets.com/report/hvac-filter,35,True,True,False
efficacy testing market,100,0,,1,https://www.researchandmarkets.com/reports/5174078/efficacy-testing-market-by-service-type,34,True,True,False
"market survey, high schools",300,17,,3,https://www.researchandmarkets.com/reports/5807032/secondary-school-market-report,33,True,False,False
barrier materials market,90,1,,1,https://www.researchandmarkets.com/report/barrier-material,31,True,True,False
epichlorohydrin market,150,0,,2,https://www.researchandmarkets.com/report/epichlorohydrin,30,True,True,False
managed mpls market,80,1,,1,https://www.researchandmarkets.com/report/managed-mpls,29,True,True,False
healthy snacks market,700,26,15,1,https://www.researchandmarkets.com/report/healthy-snack,29,True,True,False
call center market,80,37,356,1,https://www.researchandmarkets.com/reports/338444/call_centers_global_strategic_business_report,28,True,True,False
industrial lubricants manufacturers,250,31,316,1,https://www.researchandmarkets.com/articles/key-companies-in-industrial-lubricant,28,True,True,False
outsourced customer care services market,200,1,,2,https://www.researchandmarkets.com/report/cx-outsourcing,28,True,True,False
industrial computed tomography market,250,19,670,4,https://www.researchandmarkets.com/report/industrial-computed-tomography,28,True,True,False
display controller news,1400,0,,12,https://www.researchandmarkets.com/report/europe-display-driver-market,28,True,True,False
seo market share,200,54,,4,https://www.researchandmarkets.com/report/seo,27,True,True,False
coding bootcamp market,200,13,656,1,https://www.researchandmarkets.com/report/coding-bootcamp,27,True,True,False
market and research,80,73,117,1,https://www.researchandmarkets.com/,27,True,True,False
