keyword,volume,keyword_difficulty,cpc,best_position,best_position_url,sum_traffic,is_informational,is_commercial,is_transactional
europe furniture markets,43000,5,,4,https://www.statista.com/outlook/cmo/furniture/europe/,5035,True,True,False
smallest country in the world,36000,12,2,2,https://www.statista.com/chart/25052/countries-based-on-land-area/,3130,True,False,False
trump approval rating graph,24000,75,,2,https://www.statista.com/chart/19541/approval-ratings-obama-trump/,2572,True,False,False
furniture markets us,24000,59,,1,https://www.statista.com/outlook/cmo/furniture/united-states,2530,True,True,False
richest man in the world,61000,0,3,9,https://www.statista.com/,1464,True,False,False
what is the gambling industry,3400,87,,1,https://www.statista.com/outlook/amo/gambling/worldwide/,1235,True,False,False
richest people in the world,47000,79,1,8,https://www.statista.com/statistics/272047/top-25-global-billionaires/,1209,True,False,False
inflation rate 2026,12000,75,91,6,https://www.statista.com/statistics/273418/unadjusted-monthly-inflation-rate-in-the-us/,891,True,False,False
mass shootings by year,7000,82,,4,https://www.statista.com/statistics/811487/number-of-mass-shootings-in-the-us/,813,True,False,False
who won the debate,20000,15,3,10,https://www.statista.com/chart/23066/share-of-debate-watchers-on-who-won/,790,True,False,False
deadliest school shooting,3000,12,,2,https://www.statista.com/statistics/476381/school-shootings-in-the-us-by-victim-count/,717,True,False,False
how many people have died in ukraine,7300,72,,1,https://www.statista.com/statistics/1293492/ukraine-war-casualties/,693,True,False,False
least populated state,13000,50,20,5,https://www.statista.com/statistics/183497/population-in-the-federal-states-of-the-us/,675,True,False,False
keir starmer approval rating,6400,25,703,5,https://www.statista.com/statistics/911008/leader-satisfaction-uk/,597,True,False,False
mass shootings by state,2100,71,,1,https://www.statista.com/statistics/811541/mass-shootings-in-the-us-by-state/,592,True,False,False
covid deaths by state,7600,85,200,5,https://www.statista.com/statistics/1109011/coronavirus-covid19-death-rates-us-by-state/,578,True,False,False
best hospitals in the world,3100,38,810,1,https://rankings.statista.com/en/healthcare/rankings/best-hospitals-world-2026-us/,505,True,True,False
trudeau approval rating,2700,26,,1,https://www.statista.com/statistics/1600839/justin-trudeau-canada-approval-rating/,491,True,False,False
social media argentina,1300,2,,1,https://www.statista.com/statistics/284401/argentina-social-network-penetration/,477,True,True,False
gdp growth by quarter,2600,77,116,4,https://www.statista.com/statistics/188185/percent-change-from-preceding-period-in-real-gdp-in-the-us/,422,True,False,False
most popular sodas,1000,4,21,1,https://www.statista.com/statistics/1346276/most-well-known-soft-drink-brands-in-the-united-states/,418,True,True,False
smartphone market,12000,75,53,8,https://www.statista.com/outlook/cmo/consumer-electronics/telephony/smartphones/worldwide/,414,True,True,False
market insights,2600,58,248,1,https://www.statista.com/outlook/,406,True,True,False
how many billionaires are there in the world,31000,76,3,9,https://www.statista.com/topics/2229/billionaires-around-the-world/,361,True,False,False
cloud market share,800,68,448,2,https://www.statista.com/chart/18819/worldwide-market-share-of-leading-cloud-infrastructure-service-providers/,361,True,True,False
india population 2025,9300,45,4,9,https://www.statista.com/statistics/262879/countries-with-the-largest-population/,357,True,False,False
china population 2025,12000,41,,1,https://www.statista.com/statistics/270129/population-growth-in-china/,356,True,False,False
largest combat sport promotions in the world,3000,6,,1,https://www.statista.com/statistics/1466698/most-valuable-combat-sports-promoters/,354,True,False,False
